x (node_count),y (sample_size),z (time)
2,2,3.993511199951172e-05
2,4,6.4849853515625e-05
2,6,1.339117685953776e-05
2,8,1.4960765838623047e-05
2,10,1.5091896057128906e-05
2,12,1.815954844156901e-05
2,14,1.141003199986049e-05
2,16,1.1354684829711914e-05
2,18,1.7179383171929254e-05
2,20,1.1086463928222656e-05
2,22,1.0923905806107955e-05
2,24,1.5228986740112305e-05
4,2,4.57763671875e-05
4,4,4.762411117553711e-05
4,6,4.470348358154297e-05
4,8,5.885958671569824e-05
4,10,3.5810470581054685e-05
4,12,4.847844441731771e-05
4,14,3.4928321838378906e-05
4,16,4.775822162628174e-05
4,18,9.605619642469619e-05
4,20,3.44395637512207e-05
4,22,4.9406831914728336e-05
4,24,5.036592483520508e-05
6,2,0.0002598762512207031
6,4,0.0002751946449279785
6,6,0.0002913475036621094
6,8,0.0002581179141998291
6,10,0.0002585411071777344
6,12,0.00027054548263549805
6,14,0.00025922911507742744
6,16,0.0003175288438796997
6,18,0.00028228759765625
6,20,0.00021519660949707032
6,22,0.00023381276564164594
6,24,0.000278542439142863
8,2,0.0016883611679077148
8,4,0.0019701719284057617
8,6,0.0028291145960489907
8,8,0.0024566054344177246
8,10,0.0019636154174804688
8,12,0.0036679704984029136
8,14,0.0021890742438180105
8,16,0.0021023303270339966
8,18,0.00222015380859375
8,20,0.002386367321014404
8,22,0.003421631726351651
8,24,0.00189971923828125
10,2,0.012407541275024414
10,4,0.01438605785369873
10,6,0.020396908124287922
10,8,0.011539310216903687
10,10,0.018102097511291503
10,12,0.01690963904062907
10,14,0.016221591404506137
10,16,0.014955997467041016
10,18,0.014332718319363065
10,20,0.017223429679870606
10,22,0.011898604306307707
10,24,0.012096196413040161
12,2,0.07658720016479492
12,4,0.07332748174667358
12,6,0.07309381167093913
12,8,0.07369998097419739
12,10,0.08870785236358643
12,12,0.07968618472417195
12,14,0.07486086232321602
12,16,0.07849240303039551
12,18,0.0873348315556844
12,20,0.08186514377593994
12,22,0.08594887906854803
12,24,0.08220484852790833
14,2,0.4413250684738159
14,4,0.494421124458313
14,6,0.46829132239023846
14,8,0.4707472324371338
14,10,0.505224084854126
14,12,0.48805391788482666
14,14,0.47274625301361084
14,16,0.47998063266277313
14,18,0.4909810225168864
14,20,0.476061737537384
14,22,0.45173637433485553
14,24,0.4309953649838765
16,2,2.5520893335342407
16,4,2.66161447763443
16,6,2.742776393890381
16,8,2.661380887031555
16,10,2.663679051399231
16,12,2.6454848647117615
16,14,2.6953290019716536
16,16,2.998881295323372
16,18,2.8649572928746543
16,20,2.766732919216156
16,22,2.7865568182685156
16,24,2.7795235315958657
